baking a cake.csv.xml,workerId,lhs_script, rhs_script,lhs_item, result, goldenStandard,Outlier/stable
baking a cake.csv.xml,A1NZFJHVJ9CNTO,60,89,7,6,,o
baking a cake.csv.xml,A2P065E9CYMYJL,60,89,7,6,,o
baking a cake.csv.xml,A2QTP92PCZUGI2,60,89,7,6,,o
baking a cake.csv.xml,A1NZFJHVJ9CNTO,60,96,7,6,,o
baking a cake.csv.xml,A27HVVLSZZ13XK,60,96,7,6,,o
baking a cake.csv.xml,A3UV55HC87DO9C,60,96,7,6,,o
baking a cake.csv.xml,A1A3TGZ7DKJWRW,60,68,10,10,,o
baking a cake.csv.xml,A2GXHECU31O81V,60,68,10,noLinkingPossible,,o
baking a cake.csv.xml,AG0X3PQK2FWQJ,60,68,10,between_10_11,,o
baking a cake.csv.xml,A1NZFJHVJ9CNTO,60,89,10,11,,o
baking a cake.csv.xml,A2P065E9CYMYJL,60,89,10,11,,o
baking a cake.csv.xml,A2QTP92PCZUGI2,60,89,10,11,,o
baking a cake.csv.xml,A1NZFJHVJ9CNTO,60,96,10,10,,o
baking a cake.csv.xml,A27HVVLSZZ13XK,60,96,10,10,,o
baking a cake.csv.xml,A3UV55HC87DO9C,60,96,10,between_9_10,,o
baking a cake.csv.xml,A1A3TGZ7DKJWRW,60,68,12,12,,o
baking a cake.csv.xml,A2GXHECU31O81V,60,68,12,between_12_13,,o
baking a cake.csv.xml,AG0X3PQK2FWQJ,60,68,12,12,,o
baking a cake.csv.xml,A1NZFJHVJ9CNTO,60,89,12,14,,o
baking a cake.csv.xml,A2P065E9CYMYJL,60,89,12,14,,o
baking a cake.csv.xml,A2QTP92PCZUGI2,60,89,12,14,,o
baking a cake.csv.xml,A1NZFJHVJ9CNTO,60,96,12,13,,o
baking a cake.csv.xml,A27HVVLSZZ13XK,60,96,12,13,,o
baking a cake.csv.xml,A3UV55HC87DO9C,60,96,12,13,,o
baking a cake.csv.xml,A1WOV2JIV5I9VE,61,68,3,between_1_2,,o
baking a cake.csv.xml,A2P065E9CYMYJL,61,68,3,3,,o
baking a cake.csv.xml,AMERD84D2MGKR,61,68,3,noLinkingPossible,,o
baking a cake.csv.xml,A1NZFJHVJ9CNTO,61,89,3,noLinkingPossible,,o
baking a cake.csv.xml,A2O19SRDLSQDP6,61,89,3,between_3_4,,o
baking a cake.csv.xml,A38DC3BG1ZCVZ2,61,89,3,between_3_4,,o
baking a cake.csv.xml,A2QTP92PCZUGI2,61,96,3,3,,o
baking a cake.csv.xml,A3FHFGC3V9B3OJ,61,96,3,noLinkingPossible,,o
baking a cake.csv.xml,AMYURTQIMAC8T,61,96,3,between_3_4,,o
baking a cake.csv.xml,A1WOV2JIV5I9VE,61,68,4,4,,o
baking a cake.csv.xml,A2P065E9CYMYJL,61,68,4,4,,o
baking a cake.csv.xml,AMERD84D2MGKR,61,68,4,4,,o
baking a cake.csv.xml,A1NZFJHVJ9CNTO,61,89,4,5,,o
baking a cake.csv.xml,A2O19SRDLSQDP6,61,89,4,5,,o
baking a cake.csv.xml,A38DC3BG1ZCVZ2,61,89,4,5,,o
baking a cake.csv.xml,A2QTP92PCZUGI2,61,96,4,4,,o
baking a cake.csv.xml,A3FHFGC3V9B3OJ,61,96,4,4,,o
baking a cake.csv.xml,AMYURTQIMAC8T,61,96,4,between_4_5,,o
baking a cake.csv.xml,A1WOV2JIV5I9VE,61,68,8,9,9,
baking a cake.csv.xml,A2P065E9CYMYJL,61,68,8,9,9,
baking a cake.csv.xml,AMERD84D2MGKR,61,68,8,9,9,
baking a cake.csv.xml,A1NZFJHVJ9CNTO,61,89,8,10,10,
baking a cake.csv.xml,A2O19SRDLSQDP6,61,89,8,10,10,
baking a cake.csv.xml,A38DC3BG1ZCVZ2,61,89,8,10,10,
baking a cake.csv.xml,A2QTP92PCZUGI2,61,96,8,8,8,
baking a cake.csv.xml,A3FHFGC3V9B3OJ,61,96,8,8,8,
baking a cake.csv.xml,AMYURTQIMAC8T,61,96,8,between_8_9,8,
baking a cake.csv.xml,A1WOV2JIV5I9VE,61,68,9,between_10_11,,o
baking a cake.csv.xml,A2P065E9CYMYJL,61,68,9,10,,o
baking a cake.csv.xml,AMERD84D2MGKR,61,68,9,10,,o
baking a cake.csv.xml,A1NZFJHVJ9CNTO,61,89,9,11,,o
baking a cake.csv.xml,A2O19SRDLSQDP6,61,89,9,11,,o
baking a cake.csv.xml,A38DC3BG1ZCVZ2,61,89,9,11,,o
baking a cake.csv.xml,A2QTP92PCZUGI2,61,96,9,10,,o
baking a cake.csv.xml,A3FHFGC3V9B3OJ,61,96,9,10,,o
baking a cake.csv.xml,AMYURTQIMAC8T,61,96,9,between_10_11,,o
baking a cake.csv.xml,A1NZFJHVJ9CNTO,66,68,2,5,,o
baking a cake.csv.xml,A2GXHECU31O81V,66,68,2,between_2_3,,o
baking a cake.csv.xml,A2QTP92PCZUGI2,66,68,2,5,,o
baking a cake.csv.xml,A1NZFJHVJ9CNTO,66,89,2,between_5_6,,o
baking a cake.csv.xml,A2GXHECU31O81V,66,89,2,between_3_4,,o
baking a cake.csv.xml,A38DC3BG1ZCVZ2,66,89,2,between_5_6,,o
baking a cake.csv.xml,A1NZFJHVJ9CNTO,66,96,2,5,,o
baking a cake.csv.xml,A2GXHECU31O81V,66,96,2,noLinkingPossible,,o
baking a cake.csv.xml,A38DC3BG1ZCVZ2,66,96,2,5,,o
baking a cake.csv.xml,A1NZFJHVJ9CNTO,66,68,4,noLinkingPossible,,o
baking a cake.csv.xml,A2GXHECU31O81V,66,68,4,noLinkingPossible,,o
baking a cake.csv.xml,A2QTP92PCZUGI2,66,68,4,between_2_3,,o
baking a cake.csv.xml,A1NZFJHVJ9CNTO,66,89,4,between_3_4,,o
baking a cake.csv.xml,A2GXHECU31O81V,66,89,4,between_4_5,,o
baking a cake.csv.xml,A38DC3BG1ZCVZ2,66,89,4,between_8_9,,o
baking a cake.csv.xml,A1NZFJHVJ9CNTO,66,96,4,noLinkingPossible,,o
baking a cake.csv.xml,A2GXHECU31O81V,66,96,4,noLinkingPossible,,o
baking a cake.csv.xml,A38DC3BG1ZCVZ2,66,96,4,between_2_3,,o
baking a cake.csv.xml,A1NZFJHVJ9CNTO,66,68,9,7,,o
baking a cake.csv.xml,A2GXHECU31O81V,66,68,9,between_7_8,,o
baking a cake.csv.xml,A2QTP92PCZUGI2,66,68,9,7,,o
baking a cake.csv.xml,A1NZFJHVJ9CNTO,66,89,9,9,,o
baking a cake.csv.xml,A2GXHECU31O81V,66,89,9,between_9_10,,o
baking a cake.csv.xml,A38DC3BG1ZCVZ2,66,89,9,9,,o
baking a cake.csv.xml,A1NZFJHVJ9CNTO,66,96,9,7,,o
baking a cake.csv.xml,A2GXHECU31O81V,66,96,9,between_7_8,,o
baking a cake.csv.xml,A38DC3BG1ZCVZ2,66,96,9,7,,o
baking a cake.csv.xml,A1NZFJHVJ9CNTO,67,68,4,between_2_3,,o
baking a cake.csv.xml,A27HVVLSZZ13XK,67,68,4,between_1_2,,o
baking a cake.csv.xml,AMYURTQIMAC8T,67,68,4,between_4_5,,o
baking a cake.csv.xml,A1NZFJHVJ9CNTO,67,89,4,noLinkingPossible,,o
baking a cake.csv.xml,A3GMT4AGHPT362,67,89,4,between_4_5,,o
baking a cake.csv.xml,ASB8T0H7L99RF,67,89,4,3,,o
baking a cake.csv.xml,A27HVVLSZZ13XK,67,96,4,between_2_3,,o
baking a cake.csv.xml,A2QLSHXNCHBRN4,67,96,4,between_3_4,,o
baking a cake.csv.xml,AOVN1TVNI7HJ7,67,96,4,noLinkingPossible,,o
baking a cake.csv.xml,A1NZFJHVJ9CNTO,67,68,6,3,3,
baking a cake.csv.xml,A27HVVLSZZ13XK,67,68,6,between_3_4,3,
baking a cake.csv.xml,AMYURTQIMAC8T,67,68,6,between_6_7,3,
baking a cake.csv.xml,A1NZFJHVJ9CNTO,67,89,6,4,4,
baking a cake.csv.xml,A3GMT4AGHPT362,67,89,6,5,4,
baking a cake.csv.xml,ASB8T0H7L99RF,67,89,6,4,4,
baking a cake.csv.xml,A27HVVLSZZ13XK,67,96,6,between_3_4,3,
baking a cake.csv.xml,A2QLSHXNCHBRN4,67,96,6,between_4_5,3,
baking a cake.csv.xml,AOVN1TVNI7HJ7,67,96,6,3,3,
baking a cake.csv.xml,A1NZFJHVJ9CNTO,67,68,12,7,,o
baking a cake.csv.xml,A27HVVLSZZ13XK,67,68,12,7,,o
baking a cake.csv.xml,AMYURTQIMAC8T,67,68,12,between_7_8,,o
baking a cake.csv.xml,A1NZFJHVJ9CNTO,67,89,12,9,,o
baking a cake.csv.xml,A3GMT4AGHPT362,67,89,12,9,,o
baking a cake.csv.xml,ASB8T0H7L99RF,67,89,12,9,,o
baking a cake.csv.xml,A27HVVLSZZ13XK,67,96,12,7,,o
baking a cake.csv.xml,A2QLSHXNCHBRN4,67,96,12,7,,o
baking a cake.csv.xml,AOVN1TVNI7HJ7,67,96,12,7,,o
baking a cake.csv.xml,A1NZFJHVJ9CNTO,67,68,13,11,,o
baking a cake.csv.xml,A27HVVLSZZ13XK,67,68,13,9,,o
baking a cake.csv.xml,AMYURTQIMAC8T,67,68,13,between_10_11,,o
baking a cake.csv.xml,A1NZFJHVJ9CNTO,67,89,13,10,,o
baking a cake.csv.xml,A3GMT4AGHPT362,67,89,13,10,,o
baking a cake.csv.xml,ASB8T0H7L99RF,67,89,13,11,,o
baking a cake.csv.xml,A27HVVLSZZ13XK,67,96,13,8,,o
baking a cake.csv.xml,A2QLSHXNCHBRN4,67,96,13,8,,o
baking a cake.csv.xml,AOVN1TVNI7HJ7,67,96,13,8,,o
baking a cake.csv.xml,AOVN1TVNI7HJ7,67,96,13,9,,o
baking a cake.csv.xml,A27HVVLSZZ13XK,69,68,1,2,2,
baking a cake.csv.xml,A2P065E9CYMYJL,69,68,1,2,2,
baking a cake.csv.xml,AMYURTQIMAC8T,69,68,1,between_2_3,2,
baking a cake.csv.xml,A110KENBXU7SUJ,69,89,1,3,3,
baking a cake.csv.xml,A1NZFJHVJ9CNTO,69,89,1,3,3,
baking a cake.csv.xml,A38DC3BG1ZCVZ2,69,89,1,3,3,
baking a cake.csv.xml,A1NZFJHVJ9CNTO,69,96,1,noLinkingPossible,,
baking a cake.csv.xml,A2QLSHXNCHBRN4,69,96,1,between_2_3,,
baking a cake.csv.xml,A2QTP92PCZUGI2,69,96,1,between_2_3,,
baking a cake.csv.xml,A27HVVLSZZ13XK,69,68,2,3,,o
baking a cake.csv.xml,A2P065E9CYMYJL,69,68,2,3,,o
baking a cake.csv.xml,AMYURTQIMAC8T,69,68,2,between_3_4,,o
baking a cake.csv.xml,A110KENBXU7SUJ,69,89,2,4,,o
baking a cake.csv.xml,A1NZFJHVJ9CNTO,69,89,2,4,,o
baking a cake.csv.xml,A38DC3BG1ZCVZ2,69,89,2,4,,o
baking a cake.csv.xml,A1NZFJHVJ9CNTO,69,96,2,3,,o
baking a cake.csv.xml,A2QLSHXNCHBRN4,69,96,2,between_3_4,,o
baking a cake.csv.xml,A2QTP92PCZUGI2,69,96,2,3,,o
baking a cake.csv.xml,A27HVVLSZZ13XK,69,68,3,4,,o
baking a cake.csv.xml,A2P065E9CYMYJL,69,68,3,4,,o
baking a cake.csv.xml,AMYURTQIMAC8T,69,68,3,between_4_5,,o
baking a cake.csv.xml,A110KENBXU7SUJ,69,89,3,between_4_5,,o
baking a cake.csv.xml,A1NZFJHVJ9CNTO,69,89,3,5,,o
baking a cake.csv.xml,A38DC3BG1ZCVZ2,69,89,3,5,,o
baking a cake.csv.xml,A1NZFJHVJ9CNTO,69,96,3,4,,o
baking a cake.csv.xml,A2QLSHXNCHBRN4,69,96,3,4,,o
baking a cake.csv.xml,A2QTP92PCZUGI2,69,96,3,4,,o
baking a cake.csv.xml,A27HVVLSZZ13XK,69,68,4,5,,o
baking a cake.csv.xml,A2P065E9CYMYJL,69,68,4,5,,o
baking a cake.csv.xml,AMYURTQIMAC8T,69,68,4,between_5_6,,o
baking a cake.csv.xml,A110KENBXU7SUJ,69,89,4,between_5_6,,o
baking a cake.csv.xml,A1NZFJHVJ9CNTO,69,89,4,noLinkingPossible,,o
baking a cake.csv.xml,A38DC3BG1ZCVZ2,69,89,4,between_5_6,,o
baking a cake.csv.xml,A1NZFJHVJ9CNTO,69,96,4,noLinkingPossible,,o
baking a cake.csv.xml,A2QLSHXNCHBRN4,69,96,4,5,,o
baking a cake.csv.xml,A2QTP92PCZUGI2,69,96,4,5,,o
baking a cake.csv.xml,A27HVVLSZZ13XK,69,68,5,6,,o
baking a cake.csv.xml,A2P065E9CYMYJL,69,68,5,6,,o
baking a cake.csv.xml,AMYURTQIMAC8T,69,68,5,between_6_7,,o
baking a cake.csv.xml,A110KENBXU7SUJ,69,89,5,6,,o
baking a cake.csv.xml,A1NZFJHVJ9CNTO,69,89,5,6,,o
baking a cake.csv.xml,A38DC3BG1ZCVZ2,69,89,5,6,,o
baking a cake.csv.xml,A1NZFJHVJ9CNTO,69,96,5,6,,o
baking a cake.csv.xml,A2QLSHXNCHBRN4,69,96,5,6,,o
baking a cake.csv.xml,A2QTP92PCZUGI2,69,96,5,6,,o
baking a cake.csv.xml,A27HVVLSZZ13XK,69,68,9,9,,o
baking a cake.csv.xml,A2P065E9CYMYJL,69,68,9,8,,o
baking a cake.csv.xml,AMYURTQIMAC8T,69,68,9,between_9_10,,o
baking a cake.csv.xml,A110KENBXU7SUJ,69,89,9,10,,o
baking a cake.csv.xml,A1NZFJHVJ9CNTO,69,89,9,10,,o
baking a cake.csv.xml,A38DC3BG1ZCVZ2,69,89,9,10,,o
baking a cake.csv.xml,A1NZFJHVJ9CNTO,69,96,9,8,,o
baking a cake.csv.xml,A2QLSHXNCHBRN4,69,96,9,8,,o
baking a cake.csv.xml,A2QTP92PCZUGI2,69,96,9,8,,o
baking a cake.csv.xml,A27HVVLSZZ13XK,69,68,11,11,,o
baking a cake.csv.xml,A2P065E9CYMYJL,69,68,11,11,,o
baking a cake.csv.xml,AMYURTQIMAC8T,69,68,11,between_11_12,,o
baking a cake.csv.xml,A110KENBXU7SUJ,69,89,11,12,,o
baking a cake.csv.xml,A1NZFJHVJ9CNTO,69,89,11,12,,o
baking a cake.csv.xml,A38DC3BG1ZCVZ2,69,89,11,12,,o
baking a cake.csv.xml,A1NZFJHVJ9CNTO,69,96,11,12,,o
baking a cake.csv.xml,A2QLSHXNCHBRN4,69,96,11,12,,o
baking a cake.csv.xml,A2QTP92PCZUGI2,69,96,11,12,,o
baking a cake.csv.xml,A149ROBL26JWPJ,71,68,2,between_2_3,,o
baking a cake.csv.xml,A38DC3BG1ZCVZ2,71,68,2,7,,o
baking a cake.csv.xml,A3UV55HC87DO9C,71,68,2,3,,o
baking a cake.csv.xml,A1A3TGZ7DKJWRW,71,89,2,between_4_5,,o
baking a cake.csv.xml,A38DC3BG1ZCVZ2,71,89,2,4,,o
baking a cake.csv.xml,AMERD84D2MGKR,71,89,2,noLinkingPossible,,o
baking a cake.csv.xml,A1NZFJHVJ9CNTO,71,96,2,3,,o
baking a cake.csv.xml,A2BZJAUH0XPO54,71,96,2,3,,o
baking a cake.csv.xml,A2GXHECU31O81V,71,96,2,between_3_4,,o
baking a cake.csv.xml,A149ROBL26JWPJ,71,68,3,3,3,
baking a cake.csv.xml,A38DC3BG1ZCVZ2,71,68,3,between_6_7,3,
