Scenario,workerId,lhs_script,rhs_script,lhs_item,result,goldStandard,outlier/stable
baking a cake.csv.xml,A311S2J8UUQ7QR,2,68,3,3,,o
baking a cake.csv.xml,A3OYUJ6E6BJS4H,2,68,3,3,,o
baking a cake.csv.xml,AU6ZURVHX4KPT,2,68,3,3,,o
baking a cake.csv.xml,A311S2J8UUQ7QR,2,68,4,4,,o
baking a cake.csv.xml,A3OYUJ6E6BJS4H,2,68,4,4,,o
baking a cake.csv.xml,AU6ZURVHX4KPT,2,68,4,4,,o
baking a cake.csv.xml,A311S2J8UUQ7QR,2,68,6,7,,o
baking a cake.csv.xml,A3OYUJ6E6BJS4H,2,68,6,7,,o
baking a cake.csv.xml,AU6ZURVHX4KPT,2,68,6,7,,o
baking a cake.csv.xml,A311S2J8UUQ7QR,2,68,8,between_9_10,,
baking a cake.csv.xml,A3OYUJ6E6BJS4H,2,68,8,between_9_10,,
baking a cake.csv.xml,AU6ZURVHX4KPT,2,68,8,between_9_10,,
baking a cake.csv.xml,A311S2J8UUQ7QR,2,68,9,11,,s
baking a cake.csv.xml,A3OYUJ6E6BJS4H,2,68,9,11,,s
baking a cake.csv.xml,AU6ZURVHX4KPT,2,68,9,11,,s
baking a cake.csv.xml,A311S2J8UUQ7QR,2,68,12,14,,s
baking a cake.csv.xml,A3OYUJ6E6BJS4H,2,68,12,14,,s
baking a cake.csv.xml,AU6ZURVHX4KPT,2,68,12,14,,s
baking a cake.csv.xml,A2PU1H705W3LXP,2,89,1,before_1,,s
baking a cake.csv.xml,AN8U4VNV87H05,2,89,1,before_1,,s
baking a cake.csv.xml,AZZDXA6TV6737,2,89,1,before_1,,s
baking a cake.csv.xml,A2PU1H705W3LXP,2,89,2,2,2,
baking a cake.csv.xml,AN8U4VNV87H05,2,89,2,2,2,
baking a cake.csv.xml,AZZDXA6TV6737,2,89,2,2,2,
baking a cake.csv.xml,A2PU1H705W3LXP,2,89,3,4,,o
baking a cake.csv.xml,AN8U4VNV87H05,2,89,3,4,,o
baking a cake.csv.xml,AZZDXA6TV6737,2,89,3,4,,o
baking a cake.csv.xml,A2PU1H705W3LXP,2,89,4,5,,o
baking a cake.csv.xml,AN8U4VNV87H05,2,89,4,5,,o
baking a cake.csv.xml,AZZDXA6TV6737,2,89,4,5,,o
baking a cake.csv.xml,A2PU1H705W3LXP,2,89,6,9,,o
baking a cake.csv.xml,AN8U4VNV87H05,2,89,6,9,,o
baking a cake.csv.xml,AZZDXA6TV6737,2,89,6,9,,o
baking a cake.csv.xml,A2PU1H705W3LXP,2,89,8,11,,
baking a cake.csv.xml,AN8U4VNV87H05,2,89,8,between_10_11,,
baking a cake.csv.xml,AZZDXA6TV6737,2,89,8,between_10_11,,
baking a cake.csv.xml,A2PU1H705W3LXP,2,89,9,12,,s
baking a cake.csv.xml,AN8U4VNV87H05,2,89,9,12,,s
baking a cake.csv.xml,AZZDXA6TV6737,2,89,9,12,,s
baking a cake.csv.xml,A2PU1H705W3LXP,2,89,12,15,,s
baking a cake.csv.xml,AN8U4VNV87H05,2,89,12,15,,s
baking a cake.csv.xml,AZZDXA6TV6737,2,89,12,15,,s
baking a cake.csv.xml,A2U6D0T6GFXZIF,2,96,1,1,,s
baking a cake.csv.xml,A3BI0AX5T5GVO3,2,96,1,between_1_2,,s
baking a cake.csv.xml,A3SHP9IPZ2FLOX,2,96,1,1,,s
baking a cake.csv.xml,A2U6D0T6GFXZIF,2,96,2,2,2,
baking a cake.csv.xml,A3BI0AX5T5GVO3,2,96,2,between_2_3,2,
baking a cake.csv.xml,A3SHP9IPZ2FLOX,2,96,2,2,2,
baking a cake.csv.xml,A2U6D0T6GFXZIF,2,96,3,3,,o
baking a cake.csv.xml,A3BI0AX5T5GVO3,2,96,3,between_2_3,,o
baking a cake.csv.xml,A3SHP9IPZ2FLOX,2,96,3,3,,o
baking a cake.csv.xml,A2U6D0T6GFXZIF,2,96,4,4,,o
baking a cake.csv.xml,A3BI0AX5T5GVO3,2,96,4,between_3_4,,o
baking a cake.csv.xml,A3SHP9IPZ2FLOX,2,96,4,4,,o
baking a cake.csv.xml,A2U6D0T6GFXZIF,2,96,6,7,,o
baking a cake.csv.xml,A3BI0AX5T5GVO3,2,96,6,between_5_6,,o
baking a cake.csv.xml,A3SHP9IPZ2FLOX,2,96,6,7,,o
baking a cake.csv.xml,A2U6D0T6GFXZIF,2,96,8,9,9,
baking a cake.csv.xml,A3BI0AX5T5GVO3,2,96,8,between_8_9,9,
baking a cake.csv.xml,A3SHP9IPZ2FLOX,2,96,8,9,9,
baking a cake.csv.xml,A2U6D0T6GFXZIF,2,96,9,12,,s
baking a cake.csv.xml,A3BI0AX5T5GVO3,2,96,9,between_12_13,,s
baking a cake.csv.xml,A3SHP9IPZ2FLOX,2,96,9,12,,s
baking a cake.csv.xml,A2U6D0T6GFXZIF,2,96,12,after_14,,s
baking a cake.csv.xml,A3BI0AX5T5GVO3,2,96,12,between_13_14,,s
baking a cake.csv.xml,A3SHP9IPZ2FLOX,2,96,12,noLinkingPossible,,s
baking a cake.csv.xml,A2PU1H705W3LXP,3,68,1,before_1,,s
baking a cake.csv.xml,A2U6D0T6GFXZIF,3,68,1,before_1,,s
baking a cake.csv.xml,A3H9A9RWEEL8FY,3,68,1,before_1,,s
baking a cake.csv.xml,A2PU1H705W3LXP,3,68,2,between_2_3,,s
baking a cake.csv.xml,A2U6D0T6GFXZIF,3,68,2,before_1,,s
baking a cake.csv.xml,A3H9A9RWEEL8FY,3,68,2,before_1,,s
baking a cake.csv.xml,A2PU1H705W3LXP,3,68,4,1,,s
baking a cake.csv.xml,A2U6D0T6GFXZIF,3,68,4,1,,s
baking a cake.csv.xml,A3H9A9RWEEL8FY,3,68,4,1,,s
baking a cake.csv.xml,A2PU1H705W3LXP,3,68,5,6,6,
baking a cake.csv.xml,A2U6D0T6GFXZIF,3,68,5,6,6,
baking a cake.csv.xml,A3H9A9RWEEL8FY,3,68,5,6,6,
baking a cake.csv.xml,A2PU1H705W3LXP,3,68,7,between_3_4,,o
baking a cake.csv.xml,A2U6D0T6GFXZIF,3,68,7,3,,o
baking a cake.csv.xml,A3H9A9RWEEL8FY,3,68,7,between_3_4,,o
baking a cake.csv.xml,A2PU1H705W3LXP,3,68,9,4,,o
baking a cake.csv.xml,A2U6D0T6GFXZIF,3,68,9,4,,o
baking a cake.csv.xml,A3H9A9RWEEL8FY,3,68,9,4,,o
baking a cake.csv.xml,A2PU1H705W3LXP,3,68,10,7,7,
baking a cake.csv.xml,A2U6D0T6GFXZIF,3,68,10,7,7,
baking a cake.csv.xml,A3H9A9RWEEL8FY,3,68,10,7,7,
baking a cake.csv.xml,A2PU1H705W3LXP,3,68,12,between_10_11,,o
baking a cake.csv.xml,A2U6D0T6GFXZIF,3,68,12,between_10_11,,o
baking a cake.csv.xml,A3H9A9RWEEL8FY,3,68,12,between_10_11,,o
baking a cake.csv.xml,A24DYXCGZQUZUQ,3,89,1,noLinkingPossible,,s
baking a cake.csv.xml,A2DSQT79EPX7MY,3,89,1,noLinkingPossible,,s
baking a cake.csv.xml,A3OYUJ6E6BJS4H,3,89,1,before_1,,s
baking a cake.csv.xml,A24DYXCGZQUZUQ,3,89,2,1,,s
baking a cake.csv.xml,A2DSQT79EPX7MY,3,89,2,1,,s
baking a cake.csv.xml,A3OYUJ6E6BJS4H,3,89,2,1,,s
baking a cake.csv.xml,A24DYXCGZQUZUQ,3,89,4,2,,s
baking a cake.csv.xml,A2DSQT79EPX7MY,3,89,4,noLinkingPossible,,s
baking a cake.csv.xml,A3OYUJ6E6BJS4H,3,89,4,2,,s
baking a cake.csv.xml,A24DYXCGZQUZUQ,3,89,5,6,6,
baking a cake.csv.xml,A2DSQT79EPX7MY,3,89,5,6,6,
baking a cake.csv.xml,A3OYUJ6E6BJS4H,3,89,5,6,6,
baking a cake.csv.xml,A24DYXCGZQUZUQ,3,89,7,noLinkingPossible,,o
baking a cake.csv.xml,A2DSQT79EPX7MY,3,89,7,4,,o
baking a cake.csv.xml,A3OYUJ6E6BJS4H,3,89,7,between_4_5,,o
baking a cake.csv.xml,A24DYXCGZQUZUQ,3,89,9,5,,o
baking a cake.csv.xml,A2DSQT79EPX7MY,3,89,9,5,,o
baking a cake.csv.xml,A3OYUJ6E6BJS4H,3,89,9,5,,o
baking a cake.csv.xml,A24DYXCGZQUZUQ,3,89,10,9,9,
baking a cake.csv.xml,A2DSQT79EPX7MY,3,89,10,9,9,
baking a cake.csv.xml,A3OYUJ6E6BJS4H,3,89,10,7,9,
baking a cake.csv.xml,A24DYXCGZQUZUQ,3,89,12,noLinkingPossible,,o
baking a cake.csv.xml,A2DSQT79EPX7MY,3,89,12,11,,o
baking a cake.csv.xml,A3OYUJ6E6BJS4H,3,89,12,between_11_12,,o
baking a cake.csv.xml,A2WF8JGMNB4UEN,3,96,1,before_1,,s
baking a cake.csv.xml,A3BI0AX5T5GVO3,3,96,1,between_1_2,,s
baking a cake.csv.xml,AN8U4VNV87H05,3,96,1,between_1_2,,s
baking a cake.csv.xml,A2WF8JGMNB4UEN,3,96,2,between_1_2,,s
baking a cake.csv.xml,A3BI0AX5T5GVO3,3,96,2,between_3_4,,s
baking a cake.csv.xml,AN8U4VNV87H05,3,96,2,between_1_2,,s
baking a cake.csv.xml,A2WF8JGMNB4UEN,3,96,4,2,,s
baking a cake.csv.xml,A3BI0AX5T5GVO3,3,96,4,between_2_3,,s
baking a cake.csv.xml,AN8U4VNV87H05,3,96,4,2,,s
baking a cake.csv.xml,A2WF8JGMNB4UEN,3,96,5,6,6,
baking a cake.csv.xml,A3BI0AX5T5GVO3,3,96,5,between_5_6,6,
baking a cake.csv.xml,AN8U4VNV87H05,3,96,5,6,6,
baking a cake.csv.xml,A2WF8JGMNB4UEN,3,96,7,between_3_4,,o
baking a cake.csv.xml,A3BI0AX5T5GVO3,3,96,7,between_4_5,,o
baking a cake.csv.xml,AN8U4VNV87H05,3,96,7,4,,o
baking a cake.csv.xml,A2WF8JGMNB4UEN,3,96,9,4,,o
baking a cake.csv.xml,A3BI0AX5T5GVO3,3,96,9,between_4_5,,o
baking a cake.csv.xml,AN8U4VNV87H05,3,96,9,between_6_7,,o
baking a cake.csv.xml,A2WF8JGMNB4UEN,3,96,10,7,7,
baking a cake.csv.xml,A3BI0AX5T5GVO3,3,96,10,between_7_8,7,
baking a cake.csv.xml,AN8U4VNV87H05,3,96,10,7,7,
baking a cake.csv.xml,A2WF8JGMNB4UEN,3,96,12,between_12_13,,o
baking a cake.csv.xml,A3BI0AX5T5GVO3,3,96,12,between_8_9,,o
baking a cake.csv.xml,AN8U4VNV87H05,3,96,12,between_10_11,,o
baking a cake.csv.xml,A1TNQU9L5L62PL,4,68,1,noLinkingPossible,,s
baking a cake.csv.xml,A2DSQT79EPX7MY,4,68,1,3,,s
baking a cake.csv.xml,AEKCK3L7OKCY9,4,68,1,noLinkingPossible,,s
baking a cake.csv.xml,A1TNQU9L5L62PL,4,68,2,1,,s
baking a cake.csv.xml,A2DSQT79EPX7MY,4,68,2,8,,s
baking a cake.csv.xml,AEKCK3L7OKCY9,4,68,2,1,,s
baking a cake.csv.xml,A1TNQU9L5L62PL,4,68,3,noLinkingPossible,,o
baking a cake.csv.xml,A2DSQT79EPX7MY,4,68,3,3,,o
baking a cake.csv.xml,AEKCK3L7OKCY9,4,68,3,noLinkingPossible,,o
baking a cake.csv.xml,A1TNQU9L5L62PL,4,68,6,noLinkingPossible,,o
baking a cake.csv.xml,A2DSQT79EPX7MY,4,68,6,7,,o
baking a cake.csv.xml,AEKCK3L7OKCY9,4,68,6,3,,o
baking a cake.csv.xml,A1TNQU9L5L62PL,4,68,10,6,,s
baking a cake.csv.xml,A2DSQT79EPX7MY,4,68,10,6,,s
baking a cake.csv.xml,AEKCK3L7OKCY9,4,68,10,noLinkingPossible,,s
baking a cake.csv.xml,A1TNQU9L5L62PL,4,68,11,7,,s
baking a cake.csv.xml,A2DSQT79EPX7MY,4,68,11,7,,s
baking a cake.csv.xml,AEKCK3L7OKCY9,4,68,11,7,,s
baking a cake.csv.xml,A1TNQU9L5L62PL,4,68,12,10,,s
baking a cake.csv.xml,A2DSQT79EPX7MY,4,68,12,10,,s
baking a cake.csv.xml,AEKCK3L7OKCY9,4,68,12,10,,s
baking a cake.csv.xml,A1TNQU9L5L62PL,4,68,13,12,,s
baking a cake.csv.xml,A2DSQT79EPX7MY,4,68,13,12,,s
baking a cake.csv.xml,AEKCK3L7OKCY9,4,68,13,11,,s
baking a cake.csv.xml,A1TNQU9L5L62PL,4,68,14,14,,s
baking a cake.csv.xml,A2DSQT79EPX7MY,4,68,14,14,,s
baking a cake.csv.xml,AEKCK3L7OKCY9,4,68,14,14,,s
baking a cake.csv.xml,A12R2U6TBB3OOG,4,89,1,between_2_3,,s
baking a cake.csv.xml,A1C57DJF1HCR3Q,4,89,1,between_1_2,,s
baking a cake.csv.xml,A37S96RT1P1IT2,4,89,1,1,,s
baking a cake.csv.xml,A12R2U6TBB3OOG,4,89,2,2,,s
baking a cake.csv.xml,A1C57DJF1HCR3Q,4,89,2,2,,s
baking a cake.csv.xml,A37S96RT1P1IT2,4,89,2,2,,s
baking a cake.csv.xml,A12R2U6TBB3OOG,4,89,3,between_2_3,,o
baking a cake.csv.xml,A1C57DJF1HCR3Q,4,89,3,between_3_4,,o
baking a cake.csv.xml,A37S96RT1P1IT2,4,89,3,1,,o
baking a cake.csv.xml,A12R2U6TBB3OOG,4,89,6,4,,o
baking a cake.csv.xml,A1C57DJF1HCR3Q,4,89,6,4,,o
baking a cake.csv.xml,A37S96RT1P1IT2,4,89,6,4,,o
baking a cake.csv.xml,A12R2U6TBB3OOG,4,89,10,6,,s
baking a cake.csv.xml,A1C57DJF1HCR3Q,4,89,10,6,,s
baking a cake.csv.xml,A37S96RT1P1IT2,4,89,10,6,,s
baking a cake.csv.xml,A12R2U6TBB3OOG,4,89,11,9,,s
baking a cake.csv.xml,A1C57DJF1HCR3Q,4,89,11,9,,s
baking a cake.csv.xml,A37S96RT1P1IT2,4,89,11,9,,s
baking a cake.csv.xml,A12R2U6TBB3OOG,4,89,12,11,,s
baking a cake.csv.xml,A1C57DJF1HCR3Q,4,89,12,11,,s
baking a cake.csv.xml,A37S96RT1P1IT2,4,89,12,11,,s
baking a cake.csv.xml,A12R2U6TBB3OOG,4,89,13,14,,s
baking a cake.csv.xml,A1C57DJF1HCR3Q,4,89,13,14,,s
baking a cake.csv.xml,A37S96RT1P1IT2,4,89,13,14,,s
baking a cake.csv.xml,A12R2U6TBB3OOG,4,89,14,15,,s
baking a cake.csv.xml,A1C57DJF1HCR3Q,4,89,14,15,,s
baking a cake.csv.xml,A37S96RT1P1IT2,4,89,14,15,,s
baking a cake.csv.xml,A1T9IKE8GV4LR4,4,96,1,between_1_2,,s
baking a cake.csv.xml,AS28SBZT979BP,4,96,1,between_1_2,,s
baking a cake.csv.xml,AZZDXA6TV6737,4,96,1,between_2_3,,s
baking a cake.csv.xml,A1T9IKE8GV4LR4,4,96,2,2,,s
baking a cake.csv.xml,AS28SBZT979BP,4,96,2,between_2_3,,s
baking a cake.csv.xml,AZZDXA6TV6737,4,96,2,2,,s
baking a cake.csv.xml,A1T9IKE8GV4LR4,4,96,3,between_2_3,,o
baking a cake.csv.xml,AS28SBZT979BP,4,96,3,between_2_3,,o
baking a cake.csv.xml,AZZDXA6TV6737,4,96,3,between_2_3,,o
baking a cake.csv.xml,A1T9IKE8GV4LR4,4,96,6,3,,o
baking a cake.csv.xml,AS28SBZT979BP,4,96,6,between_3_4,,o
baking a cake.csv.xml,AZZDXA6TV6737,4,96,6,3,,o
baking a cake.csv.xml,A1T9IKE8GV4LR4,4,96,10,6,,s
baking a cake.csv.xml,AS28SBZT979BP,4,96,10,between_5_6,,s
baking a cake.csv.xml,AZZDXA6TV6737,4,96,10,6,,s
baking a cake.csv.xml,A1T9IKE8GV4LR4,4,96,11,7,,s
baking a cake.csv.xml,AS28SBZT979BP,4,96,11,between_6_7,,s
baking a cake.csv.xml,AZZDXA6TV6737,4,96,11,7,,s
baking a cake.csv.xml,A1T9IKE8GV4LR4,4,96,12,between_9_10,,s
baking a cake.csv.xml,AS28SBZT979BP,4,96,12,between_11_12,,s
baking a cake.csv.xml,AZZDXA6TV6737,4,96,12,between_9_10,,s
baking a cake.csv.xml,A1T9IKE8GV4LR4,4,96,13,13,,s
baking a cake.csv.xml,AS28SBZT979BP,4,96,13,between_13_14,,s
baking a cake.csv.xml,AZZDXA6TV6737,4,96,13,13,,s
baking a cake.csv.xml,A1T9IKE8GV4LR4,4,96,14,between_13_14,,s
baking a cake.csv.xml,AS28SBZT979BP,4,96,14,after_14,,s
baking a cake.csv.xml,AZZDXA6TV6737,4,96,14,after_14,,s
baking a cake.csv.xml,A31IZKL0SIL3MB,5,68,1,noLinkingPossible,,o
baking a cake.csv.xml,A3EBUBRYCKB6AF,5,68,1,noLinkingPossible,,o
baking a cake.csv.xml,A4RMK9LD7UJP6,5,68,1,before_1,,o
baking a cake.csv.xml,A31IZKL0SIL3MB,5,68,3,noLinkingPossible,,s
baking a cake.csv.xml,A3EBUBRYCKB6AF,5,68,3,noLinkingPossible,,s
baking a cake.csv.xml,A4RMK9LD7UJP6,5,68,3,between_2_3,,s
baking a cake.csv.xml,A31IZKL0SIL3MB,5,68,5,7,,s
baking a cake.csv.xml,A3EBUBRYCKB6AF,5,68,5,7,,s
baking a cake.csv.xml,A4RMK9LD7UJP6,5,68,5,7,,s
baking a cake.csv.xml,A31IZKL0SIL3MB,5,68,9,14,,s
baking a cake.csv.xml,A3EBUBRYCKB6AF,5,68,9,14,,s
baking a cake.csv.xml,A4RMK9LD7UJP6,5,68,9,14,,s
baking a cake.csv.xml,A2DSQT79EPX7MY,5,89,1,1,,o
baking a cake.csv.xml,A3BI0AX5T5GVO3,5,89,1,between_1_2,,o
baking a cake.csv.xml,AZWNKDPOHO240,5,89,1,1,,o
baking a cake.csv.xml,A2DSQT79EPX7MY,5,89,3,4,,s
baking a cake.csv.xml,A3BI0AX5T5GVO3,5,89,3,between_4_5,,s
baking a cake.csv.xml,AZWNKDPOHO240,5,89,3,noLinkingPossible,,s
baking a cake.csv.xml,A2DSQT79EPX7MY,5,89,5,9,,s
baking a cake.csv.xml,A3BI0AX5T5GVO3,5,89,5,between_6_7,,s
baking a cake.csv.xml,AZWNKDPOHO240,5,89,5,9,,s
baking a cake.csv.xml,A2DSQT79EPX7MY,5,89,9,15,,s
baking a cake.csv.xml,A3BI0AX5T5GVO3,5,89,9,between_10_11,,s
baking a cake.csv.xml,AZWNKDPOHO240,5,89,9,15,,s
baking a cake.csv.xml,A2DSQT79EPX7MY,5,96,1,1,,o
baking a cake.csv.xml,A2IABGWWDKRQS3,5,96,1,before_1,,o
baking a cake.csv.xml,AZWNKDPOHO240,5,96,1,1,,o
baking a cake.csv.xml,A2DSQT79EPX7MY,5,96,3,1,,s
baking a cake.csv.xml,A2IABGWWDKRQS3,5,96,3,noLinkingPossible,,s
baking a cake.csv.xml,AZWNKDPOHO240,5,96,3,3,,s
baking a cake.csv.xml,A2DSQT79EPX7MY,5,96,5,7,,s
baking a cake.csv.xml,A2IABGWWDKRQS3,5,96,5,7,,s
baking a cake.csv.xml,AZWNKDPOHO240,5,96,5,7,,s
baking a cake.csv.xml,A2DSQT79EPX7MY,5,96,9,noLinkingPossible,,s
baking a cake.csv.xml,A2IABGWWDKRQS3,5,96,9,after_14,,s
baking a cake.csv.xml,AZWNKDPOHO240,5,96,9,noLinkingPossible,,s
baking a cake.csv.xml,A26Y58YECZUZZG,6,68,3,noLinkingPossible,,o
baking a cake.csv.xml,A2DSQT79EPX7MY,6,68,3,3,,o
baking a cake.csv.xml,A31O43Y575I5C2,6,68,3,between_2_3,,o
baking a cake.csv.xml,A26Y58YECZUZZG,6,68,4,noLinkingPossible,,o
baking a cake.csv.xml,A2DSQT79EPX7MY,6,68,4,3,,o
baking a cake.csv.xml,A31O43Y575I5C2,6,68,4,between_2_3,,o
baking a cake.csv.xml,A26Y58YECZUZZG,6,68,10,7,,o
baking a cake.csv.xml,A2DSQT79EPX7MY,6,68,10,9,,o
baking a cake.csv.xml,A31O43Y575I5C2,6,68,10,7,,o
baking a cake.csv.xml,A26Y58YECZUZZG,6,68,13,noLinkingPossible,,o
baking a cake.csv.xml,A2DSQT79EPX7MY,6,68,13,noLinkingPossible,,o
baking a cake.csv.xml,A31O43Y575I5C2,6,68,13,between_9_10,,o
baking a cake.csv.xml,A26Y58YECZUZZG,6,68,14,11,,o
baking a cake.csv.xml,A2DSQT79EPX7MY,6,68,14,11,,o
baking a cake.csv.xml,A31O43Y575I5C2,6,68,14,11,,o
baking a cake.csv.xml,A26Y58YECZUZZG,6,68,15,12,12,
baking a cake.csv.xml,A2DSQT79EPX7MY,6,68,15,12,12,
baking a cake.csv.xml,A31O43Y575I5C2,6,68,15,12,12,
baking a cake.csv.xml,A26Y58YECZUZZG,6,68,16,14,,o
baking a cake.csv.xml,A2DSQT79EPX7MY,6,68,16,14,,o
baking a cake.csv.xml,A31O43Y575I5C2,6,68,16,14,,o
baking a cake.csv.xml,A19CS1OXZSDDTT,6,89,3,noLinkingPossible,,o
baking a cake.csv.xml,A31IZKL0SIL3MB,6,89,3,noLinkingPossible,,o
baking a cake.csv.xml,AN8U4VNV87H05,6,89,3,between_1_2,,o
baking a cake.csv.xml,A19CS1OXZSDDTT,6,89,4,noLinkingPossible,,o
baking a cake.csv.xml,A31IZKL0SIL3MB,6,89,4,noLinkingPossible,,o
baking a cake.csv.xml,AN8U4VNV87H05,6,89,4,noLinkingPossible,,o
baking a cake.csv.xml,A19CS1OXZSDDTT,6,89,10,9,,o
baking a cake.csv.xml,A31IZKL0SIL3MB,6,89,10,9,,o
baking a cake.csv.xml,AN8U4VNV87H05,6,89,10,9,,o
baking a cake.csv.xml,A19CS1OXZSDDTT,6,89,13,noLinkingPossible,,o
baking a cake.csv.xml,A31IZKL0SIL3MB,6,89,13,noLinkingPossible,,o
baking a cake.csv.xml,AN8U4VNV87H05,6,89,13,between_10_11,,o
baking a cake.csv.xml,A19CS1OXZSDDTT,6,89,14,12,,o
baking a cake.csv.xml,A31IZKL0SIL3MB,6,89,14,12,,o
baking a cake.csv.xml,AN8U4VNV87H05,6,89,14,12,,o
