Scenario,WorkerId,lhs_script,rhs_script,lhs_item,rhs_item,before_item,after_item,noLinkingPossible,goldenStandard
baking a cake.csv.xml,ADQEDEGVPG7R,2,6,6,9,,,f,
baking a cake.csv.xml,ADQEDEGVPG7R,2,6,7,13,,,f,
baking a cake.csv.xml,AVRIM8OI638FT,2,9,3,6,,,f,6
baking a cake.csv.xml,A35D31QHYQUF9V,2,9,3,7,,,f,6
baking a cake.csv.xml,A2CF2BD4Q0ZDJN,2,9,3,7,,,f,6
baking a cake.csv.xml,A1W8FA5GSFY60C,2,12,3,4,,,f,
baking a cake.csv.xml,A13TJ0P4X8HJ6Q,2,12,3,4,,,f,
baking a cake.csv.xml,A35D31QHYQUF9V,2,12,3,4,,,f,
baking a cake.csv.xml,A35D31QHYQUF9V,3,6,2,6,,,f,
baking a cake.csv.xml,A2SSC9PR4KPNPQ,3,6,2,6,,,f,
baking a cake.csv.xml,A13TJ0P4X8HJ6Q,3,6,2,,5,4,f,
baking a cake.csv.xml,A35D31QHYQUF9V,3,6,4,7,,,f,
baking a cake.csv.xml,A13TJ0P4X8HJ6Q,3,6,4,7,,,f,
baking a cake.csv.xml,A2SSC9PR4KPNPQ,3,6,4,7,,,f,
baking a cake.csv.xml,A35D31QHYQUF9V,3,6,6,9,,,f,
baking a cake.csv.xml,A13TJ0P4X8HJ6Q,3,6,6,10,,,f,
baking a cake.csv.xml,A2SSC9PR4KPNPQ,3,6,6,10,,,f,
baking a cake.csv.xml,A4158R4Y06ZB4,3,9,2,1,,,f,
baking a cake.csv.xml,A1G94QON7A9K0N,3,9,2,1,,,f,
baking a cake.csv.xml,A1G94QON7A9K0N,3,9,2,4,,,f,
baking a cake.csv.xml,ADLYO655RWJUI,3,9,2,5,,,f,
baking a cake.csv.xml,ADLYO655RWJUI,3,9,4,5,,,f,5
baking a cake.csv.xml,A4158R4Y06ZB4,3,9,4,5,,,f,5
baking a cake.csv.xml,A1G94QON7A9K0N,3,9,4,5,,,f,5
baking a cake.csv.xml,A1G94QON7A9K0N,3,9,6,9,,,f,
baking a cake.csv.xml,A1G94QON7A9K0N,3,9,6,10,,,f,
baking a cake.csv.xml,A1G94QON7A9K0N,3,9,6,11,,,f,
baking a cake.csv.xml,ADLYO655RWJUI,3,9,6,,,,t,
baking a cake.csv.xml,A4158R4Y06ZB4,3,9,6,,11,10,f,
baking a cake.csv.xml,A1909MOQZUXZZ5,3,12,2,2,,,f,
baking a cake.csv.xml,A13TJ0P4X8HJ6Q,3,12,2,2,,,f,
baking a cake.csv.xml,A1DCGB72N1UIPT,3,12,2,2,,,f,
baking a cake.csv.xml,A1909MOQZUXZZ5,3,12,4,6,,,f,6
baking a cake.csv.xml,A1DCGB72N1UIPT,3,12,4,6,,,f,6
baking a cake.csv.xml,A13TJ0P4X8HJ6Q,3,12,4,6,,,f,6
baking a cake.csv.xml,A1DCGB72N1UIPT,3,12,6,9,,,f,
baking a cake.csv.xml,A13TJ0P4X8HJ6Q,3,12,6,9,,,f,
baking a cake.csv.xml,A1909MOQZUXZZ5,3,12,6,9,,,f,
baking a cake.csv.xml,ADLYO655RWJUI,4,6,2,5,,,f,
baking a cake.csv.xml,A13TJ0P4X8HJ6Q,4,6,2,5,,,f,
baking a cake.csv.xml,A110KENBXU7SUJ,4,6,2,5,,,f,
baking a cake.csv.xml,A110KENBXU7SUJ,4,6,8,13,,,f,
baking a cake.csv.xml,ADLYO655RWJUI,4,6,8,13,,,f,
baking a cake.csv.xml,A13TJ0P4X8HJ6Q,4,6,8,13,,,f,
baking a cake.csv.xml,A13TJ0P4X8HJ6Q,4,6,9,,14,13,f,
baking a cake.csv.xml,A110KENBXU7SUJ,4,6,9,,14,13,f,
baking a cake.csv.xml,ADLYO655RWJUI,4,6,9,,,,t,
baking a cake.csv.xml,ADLYO655RWJUI,4,9,2,2,,,f,
baking a cake.csv.xml,A13TJ0P4X8HJ6Q,4,9,2,2,,,f,
baking a cake.csv.xml,A2SO6K35NMGBB7,4,9,2,2,,,f,
baking a cake.csv.xml,ADLYO655RWJUI,4,9,8,11,,,f,
baking a cake.csv.xml,A2SO6K35NMGBB7,4,9,8,11,,,f,
baking a cake.csv.xml,A13TJ0P4X8HJ6Q,4,9,8,11,,,f,
baking a cake.csv.xml,A2SO6K35NMGBB7,4,9,9,,,,t,
baking a cake.csv.xml,ADLYO655RWJUI,4,9,9,,,,t,
baking a cake.csv.xml,A13TJ0P4X8HJ6Q,4,9,9,,,12,f,
baking a cake.csv.xml,A35D31QHYQUF9V,4,12,2,5,,,f,
baking a cake.csv.xml,A1WNG0ZB1DC7R0,4,12,2,5,,,f,
baking a cake.csv.xml,A13TJ0P4X8HJ6Q,4,12,2,5,,,f,
baking a cake.csv.xml,A1WNG0ZB1DC7R0,4,12,8,10,,,f,
baking a cake.csv.xml,A13TJ0P4X8HJ6Q,4,12,8,10,,,f,
baking a cake.csv.xml,A35D31QHYQUF9V,4,12,8,11,,,f,
baking a cake.csv.xml,A1WNG0ZB1DC7R0,4,12,8,,10,9,f,
baking a cake.csv.xml,A35D31QHYQUF9V,4,12,9,11,,,f,
baking a cake.csv.xml,A1WNG0ZB1DC7R0,4,12,9,11,,,f,
baking a cake.csv.xml,A13TJ0P4X8HJ6Q,4,12,9,11,,,f,
baking a cake.csv.xml,A1WNG0ZB1DC7R0,5,6,3,8,,,f,
baking a cake.csv.xml,A110KENBXU7SUJ,5,6,3,8,,,f,
baking a cake.csv.xml,A13TJ0P4X8HJ6Q,5,6,3,8,,,f,
baking a cake.csv.xml,A110KENBXU7SUJ,5,6,7,13,,,f,13
baking a cake.csv.xml,A1WNG0ZB1DC7R0,5,6,7,13,,,f,13
baking a cake.csv.xml,A13TJ0P4X8HJ6Q,5,6,7,13,,,f,13
baking a cake.csv.xml,A1W8FA5GSFY60C,5,9,3,8,,,f,
baking a cake.csv.xml,ADLYO655RWJUI,5,9,3,8,,,f,
baking a cake.csv.xml,A13TJ0P4X8HJ6Q,5,9,3,8,,,f,
baking a cake.csv.xml,A1W8FA5GSFY60C,5,9,7,11,,,f,
baking a cake.csv.xml,ADLYO655RWJUI,5,9,7,11,,,f,
baking a cake.csv.xml,A13TJ0P4X8HJ6Q,5,9,7,11,,,f,
baking a cake.csv.xml,A35D31QHYQUF9V,5,12,3,7,,,f,
baking a cake.csv.xml,A34D413HR7ZIFM,5,12,3,7,,,f,
baking a cake.csv.xml,A110KENBXU7SUJ,5,12,3,7,,,f,
baking a cake.csv.xml,A35D31QHYQUF9V,5,12,7,10,,,f,
baking a cake.csv.xml,A110KENBXU7SUJ,5,12,7,,10,9,f,
baking a cake.csv.xml,A34D413HR7ZIFM,5,12,7,,10,9,f,
baking a cake.csv.xml,A2IU1B0EVVB3CF,7,6,2,1,,,f,
baking a cake.csv.xml,A2IU1B0EVVB3CF,7,6,2,2,,,f,
baking a cake.csv.xml,A2IU1B0EVVB3CF,7,6,2,3,,,f,
baking a cake.csv.xml,A3NKM6RL2KVUB6,7,6,2,,6,5,f,
baking a cake.csv.xml,A38BNV13AV0S8Y,7,6,2,,5,4,f,
baking a cake.csv.xml,A2IU1B0EVVB3CF,7,6,4,7,,,f,
baking a cake.csv.xml,A38BNV13AV0S8Y,7,6,4,7,,,f,
baking a cake.csv.xml,A3NKM6RL2KVUB6,7,6,4,,7,6,f,
baking a cake.csv.xml,A3NKM6RL2KVUB6,7,6,5,7,,,f,
baking a cake.csv.xml,A38BNV13AV0S8Y,7,6,5,7,,,f,
baking a cake.csv.xml,A2IU1B0EVVB3CF,7,6,5,7,,,f,
baking a cake.csv.xml,A38BNV13AV0S8Y,7,6,11,13,,,f,
baking a cake.csv.xml,A2IU1B0EVVB3CF,7,6,11,14,,,f,
baking a cake.csv.xml,A3NKM6RL2KVUB6,7,6,11,,,,t,
baking a cake.csv.xml,A1G94QON7A9K0N,7,9,2,1,,,f,1
baking a cake.csv.xml,ADLYO655RWJUI,7,9,2,1,,,f,1
baking a cake.csv.xml,A13TJ0P4X8HJ6Q,7,9,2,1,,,f,1
baking a cake.csv.xml,A13TJ0P4X8HJ6Q,7,9,4,4,,,f,
baking a cake.csv.xml,A1G94QON7A9K0N,7,9,4,4,,,f,
baking a cake.csv.xml,A1G94QON7A9K0N,7,9,4,5,,,f,
baking a cake.csv.xml,ADLYO655RWJUI,7,9,4,5,,,f,
baking a cake.csv.xml,A13TJ0P4X8HJ6Q,7,9,5,5,,,f,
baking a cake.csv.xml,ADLYO655RWJUI,7,9,5,5,,,f,
baking a cake.csv.xml,A1G94QON7A9K0N,7,9,5,5,,,f,
baking a cake.csv.xml,ADLYO655RWJUI,7,9,11,,,,t,
baking a cake.csv.xml,A13TJ0P4X8HJ6Q,7,9,11,,,12,f,
baking a cake.csv.xml,A1G94QON7A9K0N,7,9,11,,,12,f,
baking a cake.csv.xml,A13TJ0P4X8HJ6Q,7,12,2,2,,,f,
baking a cake.csv.xml,A35D31QHYQUF9V,7,12,2,2,,,f,
baking a cake.csv.xml,A323O8GJP2B28X,7,12,2,2,,,f,
baking a cake.csv.xml,A35D31QHYQUF9V,7,12,4,6,,,f,
baking a cake.csv.xml,A13TJ0P4X8HJ6Q,7,12,4,,6,5,f,
baking a cake.csv.xml,A323O8GJP2B28X,7,12,4,,7,6,f,
baking a cake.csv.xml,A13TJ0P4X8HJ6Q,7,12,5,6,,,f,
baking a cake.csv.xml,A323O8GJP2B28X,7,12,5,6,,,f,
baking a cake.csv.xml,A35D31QHYQUF9V,7,12,5,6,,,f,
baking a cake.csv.xml,A35D31QHYQUF9V,7,12,11,13,,,f,
baking a cake.csv.xml,A323O8GJP2B28X,7,12,11,,,13,f,
baking a cake.csv.xml,A13TJ0P4X8HJ6Q,7,12,11,,13,12,f,
baking a cake.csv.xml,A1909MOQZUXZZ5,8,6,3,1,,,f,
baking a cake.csv.xml,A27IABVBUZ9X8Z,8,6,3,1,,,f,
baking a cake.csv.xml,AWN1PEZWRQSQ9,8,6,3,1,,,f,
baking a cake.csv.xml,A1909MOQZUXZZ5,8,6,3,3,,,f,
baking a cake.csv.xml,AWN1PEZWRQSQ9,8,6,12,11,,,f,
baking a cake.csv.xml,A27IABVBUZ9X8Z,8,6,12,11,,,f,
baking a cake.csv.xml,A1909MOQZUXZZ5,8,6,12,11,,,f,
baking a cake.csv.xml,A27IABVBUZ9X8Z,8,6,13,13,,,f,13
baking a cake.csv.xml,A1909MOQZUXZZ5,8,6,13,13,,,f,13
baking a cake.csv.xml,AWN1PEZWRQSQ9,8,6,13,13,,,f,13
baking a cake.csv.xml,AWN1PEZWRQSQ9,8,6,15,14,,,f,
baking a cake.csv.xml,A1909MOQZUXZZ5,8,6,15,14,,,f,
baking a cake.csv.xml,A27IABVBUZ9X8Z,8,6,15,,,14,f,
baking a cake.csv.xml,A39RV5J8TUS5B6,8,9,3,1,,,f,
baking a cake.csv.xml,A1WNG0ZB1DC7R0,8,9,3,1,,,f,
baking a cake.csv.xml,A34D413HR7ZIFM,8,9,3,,,,t,
baking a cake.csv.xml,A39RV5J8TUS5B6,8,9,12,11,,,f,
baking a cake.csv.xml,A34D413HR7ZIFM,8,9,12,,11,10,f,
baking a cake.csv.xml,A1WNG0ZB1DC7R0,8,9,12,,11,10,f,
baking a cake.csv.xml,A34D413HR7ZIFM,8,9,13,11,,,f,
baking a cake.csv.xml,A39RV5J8TUS5B6,8,9,13,11,,,f,
baking a cake.csv.xml,A1WNG0ZB1DC7R0,8,9,13,11,,,f,
baking a cake.csv.xml,A34D413HR7ZIFM,8,9,13,,12,11,f,
baking a cake.csv.xml,A39RV5J8TUS5B6,8,9,15,11,,,f,
baking a cake.csv.xml,A1WNG0ZB1DC7R0,8,9,15,,,12,f,
baking a cake.csv.xml,A34D413HR7ZIFM,8,9,15,,,,t,
baking a cake.csv.xml,A13TJ0P4X8HJ6Q,8,12,3,,2,1,f,
baking a cake.csv.xml,A38BNV13AV0S8Y,8,12,3,,2,1,f,
baking a cake.csv.xml,A2IU1B0EVVB3CF,8,12,3,,,,t,
baking a cake.csv.xml,A2IU1B0EVVB3CF,8,12,12,9,,,f,
baking a cake.csv.xml,A38BNV13AV0S8Y,8,12,12,,10,9,f,
baking a cake.csv.xml,A13TJ0P4X8HJ6Q,8,12,12,,10,9,f,
baking a cake.csv.xml,A2IU1B0EVVB3CF,8,12,13,10,,,f,
baking a cake.csv.xml,A13TJ0P4X8HJ6Q,8,12,13,10,,,f,
baking a cake.csv.xml,A38BNV13AV0S8Y,8,12,13,,10,9,f,
baking a cake.csv.xml,A38BNV13AV0S8Y,8,12,15,,13,12,f,
baking a cake.csv.xml,A13TJ0P4X8HJ6Q,8,12,15,,12,11,f,
baking a cake.csv.xml,A2IU1B0EVVB3CF,8,12,15,,,,t,
baking a cake.csv.xml,ADLYO655RWJUI,10,6,4,,,,t,
baking a cake.csv.xml,A34D413HR7ZIFM,10,6,4,,7,6,f,
baking a cake.csv.xml,A1G94QON7A9K0N,10,6,4,,7,6,f,
baking a cake.csv.xml,A1G94QON7A9K0N,10,6,7,,8,7,f,
baking a cake.csv.xml,A34D413HR7ZIFM,10,6,7,,8,7,f,
baking a cake.csv.xml,ADLYO655RWJUI,10,6,7,,,,t,
baking a cake.csv.xml,A1G94QON7A9K0N,10,6,11,9,,,f,9
baking a cake.csv.xml,ADLYO655RWJUI,10,6,11,9,,,f,9
baking a cake.csv.xml,A34D413HR7ZIFM,10,6,11,9,,,f,9
baking a cake.csv.xml,A1G94QON7A9K0N,10,6,13,10,,,f,
baking a cake.csv.xml,ADLYO655RWJUI,10,6,13,10,,,f,
baking a cake.csv.xml,A34D413HR7ZIFM,10,6,13,10,,,f,
baking a cake.csv.xml,A1G94QON7A9K0N,10,6,15,11,,,f,
baking a cake.csv.xml,A34D413HR7ZIFM,10,6,15,11,,,f,
baking a cake.csv.xml,ADLYO655RWJUI,10,6,15,,,,t,
baking a cake.csv.xml,ADLYO655RWJUI,10,6,16,14,,,f,
baking a cake.csv.xml,A1G94QON7A9K0N,10,6,16,,14,13,f,
baking a cake.csv.xml,A34D413HR7ZIFM,10,6,16,,14,13,f,
baking a cake.csv.xml,A4158R4Y06ZB4,10,9,4,,5,4,f,
baking a cake.csv.xml,ADLYO655RWJUI,10,9,4,,,,t,
baking a cake.csv.xml,A34D413HR7ZIFM,10,9,4,,4,3,f,
baking a cake.csv.xml,ADLYO655RWJUI,10,9,7,,,,t,
baking a cake.csv.xml,A34D413HR7ZIFM,10,9,7,,5,4,f,
baking a cake.csv.xml,A4158R4Y06ZB4,10,9,7,,6,5,f,
baking a cake.csv.xml,A4158R4Y06ZB4,10,9,11,9,,,f,9
baking a cake.csv.xml,ADLYO655RWJUI,10,9,11,9,,,f,9
baking a cake.csv.xml,A34D413HR7ZIFM,10,9,11,9,,,f,9
baking a cake.csv.xml,A4158R4Y06ZB4,10,9,13,,11,10,f,
baking a cake.csv.xml,A34D413HR7ZIFM,10,9,13,,11,10,f,
baking a cake.csv.xml,ADLYO655RWJUI,10,9,13,,,,t,
baking a cake.csv.xml,A34D413HR7ZIFM,10,9,15,,12,11,f,
baking a cake.csv.xml,ADLYO655RWJUI,10,9,15,,,,t,
baking a cake.csv.xml,A4158R4Y06ZB4,10,9,15,,,,t,
baking a cake.csv.xml,ADLYO655RWJUI,10,9,16,11,,,f,
baking a cake.csv.xml,A4158R4Y06ZB4,10,9,16,,,,t,
baking a cake.csv.xml,A34D413HR7ZIFM,10,9,16,,,12,f,
baking a cake.csv.xml,A13TJ0P4X8HJ6Q,10,12,4,3,,,f,
baking a cake.csv.xml,A1DCGB72N1UIPT,10,12,4,3,,,f,
baking a cake.csv.xml,A35D31QHYQUF9V,10,12,4,3,,,f,
baking a cake.csv.xml,A35D31QHYQUF9V,10,12,7,6,,,f,
baking a cake.csv.xml,A13TJ0P4X8HJ6Q,10,12,7,,7,6,f,
baking a cake.csv.xml,A1DCGB72N1UIPT,10,12,7,,7,6,f,
baking a cake.csv.xml,A1DCGB72N1UIPT,10,12,11,8,,,f,8
baking a cake.csv.xml,A35D31QHYQUF9V,10,12,11,8,,,f,8
baking a cake.csv.xml,A13TJ0P4X8HJ6Q,10,12,11,8,,,f,8
baking a cake.csv.xml,A35D31QHYQUF9V,10,12,13,9,,,f,
baking a cake.csv.xml,A13TJ0P4X8HJ6Q,10,12,13,9,,,f,
baking a cake.csv.xml,A1DCGB72N1UIPT,10,12,13,,10,9,f,
baking a cake.csv.xml,A35D31QHYQUF9V,10,12,15,10,,,f,
baking a cake.csv.xml,A1DCGB72N1UIPT,10,12,15,,10,9,f,
baking a cake.csv.xml,A13TJ0P4X8HJ6Q,10,12,15,,10,9,f,
baking a cake.csv.xml,A13TJ0P4X8HJ6Q,10,12,16,10,,,f,
baking a cake.csv.xml,A1DCGB72N1UIPT,10,12,16,10,,,f,
baking a cake.csv.xml,A35D31QHYQUF9V,10,12,16,11,,,f,
baking a cake.csv.xml,A2SSC9PR4KPNPQ,11,6,1,1,,,f,
baking a cake.csv.xml,A323O8GJP2B28X,11,6,1,,2,1,f,
baking a cake.csv.xml,A27IABVBUZ9X8Z,11,6,1,,1,,f,
baking a cake.csv.xml,A2SSC9PR4KPNPQ,11,6,3,4,,,f,
baking a cake.csv.xml,A27IABVBUZ9X8Z,11,6,3,4,,,f,
baking a cake.csv.xml,A323O8GJP2B28X,11,6,3,4,,,f,
baking a cake.csv.xml,A27IABVBUZ9X8Z,11,6,5,7,,,f,
baking a cake.csv.xml,A2SSC9PR4KPNPQ,11,6,5,7,,,f,
baking a cake.csv.xml,A323O8GJP2B28X,11,6,5,,9,8,f,
baking a cake.csv.xml,A2SSC9PR4KPNPQ,11,6,10,10,,,f,
baking a cake.csv.xml,A27IABVBUZ9X8Z,11,6,10,10,,,f,
baking a cake.csv.xml,A323O8GJP2B28X,11,6,10,,11,10,f,
baking a cake.csv.xml,A2SSC9PR4KPNPQ,11,6,11,11,,,f,
baking a cake.csv.xml,A27IABVBUZ9X8Z,11,6,11,11,,,f,
baking a cake.csv.xml,A323O8GJP2B28X,11,6,11,12,,,f,
baking a cake.csv.xml,A323O8GJP2B28X,11,9,1,,,,t,
baking a cake.csv.xml,A1G94QON7A9K0N,11,9,1,,1,,f,
baking a cake.csv.xml,A13TJ0P4X8HJ6Q,11,9,1,,,,t,
baking a cake.csv.xml,A1G94QON7A9K0N,11,9,3,,2,1,f,
baking a cake.csv.xml,A323O8GJP2B28X,11,9,3,,,,t,
baking a cake.csv.xml,A13TJ0P4X8HJ6Q,11,9,3,,,,t,
baking a cake.csv.xml,A323O8GJP2B28X,11,9,5,,5,4,f,
baking a cake.csv.xml,A13TJ0P4X8HJ6Q,11,9,5,,4,3,f,
baking a cake.csv.xml,A1G94QON7A9K0N,11,9,5,,4,3,f,
baking a cake.csv.xml,A13TJ0P4X8HJ6Q,11,9,10,,11,10,f,
baking a cake.csv.xml,A323O8GJP2B28X,11,9,10,,10,9,f,
baking a cake.csv.xml,A1G94QON7A9K0N,11,9,10,,11,10,f,
baking a cake.csv.xml,A1G94QON7A9K0N,11,9,11,,11,10,f,
baking a cake.csv.xml,A323O8GJP2B28X,11,9,11,,12,11,f,
baking a cake.csv.xml,A13TJ0P4X8HJ6Q,11,9,11,,,,t,
baking a cake.csv.xml,ADLYO655RWJUI,11,12,1,2,,,f,
baking a cake.csv.xml,A13TJ0P4X8HJ6Q,11,12,1,,,,t,
baking a cake.csv.xml,A1909MOQZUXZZ5,11,12,1,,,,t,
baking a cake.csv.xml,A1909MOQZUXZZ5,11,12,3,,,,t,
baking a cake.csv.xml,A13TJ0P4X8HJ6Q,11,12,3,,,,t,
baking a cake.csv.xml,ADLYO655RWJUI,11,12,3,,,,t,
baking a cake.csv.xml,A1909MOQZUXZZ5,11,12,5,,6,5,f,
baking a cake.csv.xml,A13TJ0P4X8HJ6Q,11,12,5,,6,5,f,
baking a cake.csv.xml,ADLYO655RWJUI,11,12,5,,,,t,
baking a cake.csv.xml,A1909MOQZUXZZ5,11,12,10,,10,9,f,
baking a cake.csv.xml,A13TJ0P4X8HJ6Q,11,12,10,,10,9,f,
baking a cake.csv.xml,ADLYO655RWJUI,11,12,10,,,,t,
baking a cake.csv.xml,A1909MOQZUXZZ5,11,12,11,8,,,f,
baking a cake.csv.xml,ADLYO655RWJUI,11,12,11,,,,t,
baking a cake.csv.xml,A13TJ0P4X8HJ6Q,11,12,11,,,,t,
borrowing a book from the library.csv.xml,A2IU1B0EVVB3CF,1,7,1,1,,,f,
borrowing a book from the library.csv.xml,A1909MOQZUXZZ5,1,7,1,,1,,f,
borrowing a book from the library.csv.xml,A13TJ0P4X8HJ6Q,1,7,1,,1,,f,
borrowing a book from the library.csv.xml,A2IU1B0EVVB3CF,1,7,2,2,,,f,
borrowing a book from the library.csv.xml,A13TJ0P4X8HJ6Q,1,7,2,,3,2,f,
borrowing a book from the library.csv.xml,A1909MOQZUXZZ5,1,7,2,,2,1,f,
borrowing a book from the library.csv.xml,A1909MOQZUXZZ5,1,7,2,,,,t,
borrowing a book from the library.csv.xml,A2IU1B0EVVB3CF,1,7,3,2,,,f,
borrowing a book from the library.csv.xml,A13TJ0P4X8HJ6Q,1,7,3,,3,2,f,
borrowing a book from the library.csv.xml,A1909MOQZUXZZ5,1,7,3,,,,t,
borrowing a book from the library.csv.xml,AMA18W8F60Y2J,1,10,1,1,,,f,1
borrowing a book from the library.csv.xml,A323O8GJP2B28X,1,10,1,1,,,f,1
borrowing a book from the library.csv.xml,A34D413HR7ZIFM,1,10,1,,1,,f,1
borrowing a book from the library.csv.xml,AMA18W8F60Y2J,1,10,2,2,,,f,
borrowing a book from the library.csv.xml,A323O8GJP2B28X,1,10,2,,3,2,f,
borrowing a book from the library.csv.xml,A34D413HR7ZIFM,1,10,2,,,,t,
borrowing a book from the library.csv.xml,AMA18W8F60Y2J,1,10,3,5,,,f,
borrowing a book from the library.csv.xml,A323O8GJP2B28X,1,10,3,,7,6,f,
borrowing a book from the library.csv.xml,A34D413HR7ZIFM,1,10,3,,,,t,
borrowing a book from the library.csv.xml,ADLYO655RWJUI,1,12,1,1,,,f,
borrowing a book from the library.csv.xml,A1W8FA5GSFY60C,1,12,1,1,,,f,
borrowing a book from the library.csv.xml,A1G94QON7A9K0N,1,12,1,,1,,f,
borrowing a book from the library.csv.xml,A1W8FA5GSFY60C,1,12,2,2,,,f,
borrowing a book from the library.csv.xml,ADLYO655RWJUI,1,12,2,,,,t,
borrowing a book from the library.csv.xml,A1G94QON7A9K0N,1,12,2,,2,1,f,
borrowing a book from the library.csv.xml,A1W8FA5GSFY60C,1,12,3,,,,t,
borrowing a book from the library.csv.xml,A1G94QON7A9K0N,1,12,3,,3,2,f,
borrowing a book from the library.csv.xml,ADLYO655RWJUI,1,12,3,,,,t,
borrowing a book from the library.csv.xml,A2IU1B0EVVB3CF,2,7,3,2,,,f,
borrowing a book from the library.csv.xml,A2SSC9PR4KPNPQ,2,7,3,,,,t,
borrowing a book from the library.csv.xml,A323O8GJP2B28X,2,7,3,,,,t,
borrowing a book from the library.csv.xml,A2IU1B0EVVB3CF,2,7,5,4,,,f,
borrowing a book from the library.csv.xml,A323O8GJP2B28X,2,7,5,4,,,f,
borrowing a book from the library.csv.xml,A2SSC9PR4KPNPQ,2,7,5,4,,,f,
borrowing a book from the library.csv.xml,A39RV5J8TUS5B6,2,10,3,1,,,f,1
borrowing a book from the library.csv.xml,A13TJ0P4X8HJ6Q,2,10,3,1,,,f,1
borrowing a book from the library.csv.xml,A1K8U4ERJCTIQ5,2,10,3,1,,,f,1
borrowing a book from the library.csv.xml,A13TJ0P4X8HJ6Q,2,10,5,5,,,f,
